V1,Source,lpq1_1,lpq2_1,lpq3_1,lpq4_1,lpq5_1,lpq6_1,lpq7_1,lpq8_1,lpq9_1,lpq10_1,lpq11_1,lpq12_1,lpq13_1,lpq14_1,lpq15_1,lpq16_1,lpq17_1,lpq18_1,lpq19_1,lpq20_1,YEAR
R_0U81UivqMHUeXjf,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_0uCEQkPoPTvnmIt,random,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2015
R_0UJDF8pOWQnJtUF,random,2,2,NA,1,2,1,NA,2,2,1,2,2,NA,2,1,2,1,1,NA,1,2015
R_0ULfDuShHhp7J0B,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_0v0JcmvNwbwsX4x,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_0v3mEbp6UQseSiN,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_0vlW7mQQ1yuqlNf,random,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2016
R_0vqBJIEgHhQEaix,not random,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2015
R_0vQCfWyNXDPnS6h,random,2,2,2,1,1,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_0Vzqa4USEVyTATb,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_0wDbFL4UHZo5ypT,random,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2015
R_0wyXNdPf9tVheZf,not random,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,2,2015
R_0x0PVWy8v1tDv6d,random,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,2015
R_0xOaZgFzpw2QF9P,random,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_0xpE6L1UckjwhGB,random,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2015
R_10AwJO82Bhfgf47,not random,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2015
R_10JBbfTFCVNkMqk,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_10Np06ht39JbVUq,random,2,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2016
R_10o12MvwUzlwbw4,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_10TKzpbMnjYtesE,not random,1,1,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2015
R_10xFkdNxJqgFLcB,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_110Wt8V2ZaJiuMV,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_114lC4uzsds01bC,not random,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015
R_115zSnRyQmTexJB,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_11gVARkCh4afhPZ,random,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2015
R_11jNS5w6G18aFey,not random,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2015
R_11WONJNjCM2Q8nt,random,2,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_11Zx8cXDeyiF6J3,not random,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,2015
